ISO2,ISO3,COUNTRY,REGION,LDC,LLDC,SIDS,YEAR,POP,POP_RANK,POP_PERCENTILE,PIP,PIP_RANK,PIP_PERCENTILE,IP,IP_1,IP_2,IP_3,IP_4,IP_5,IP_6,PEP,PEP_RANK,PEP_PERCENTILE,EP,EP_1,EP_2,EP_3,EP_4,POP_R,POP_R_RANK,POP_R_PERCENTILE,PARTY_CODE,PARTY_NAME
NI,NIC,Nicaragua,Central America,0,0,0,2000,,,,,,,64.74166666666666,57.4,78.15,25.099999999999994,86.3,71.5,70.0,,,,29.1263379767456,41.19722300337639,15.696784235128083,27.3,32.311344668477915,,,,PLC,Constitutionalist Liberal Party
PA,PAN,Panama,Central America,0,0,0,2000,10.841730892616958,9.0,0.6,14.36011388888889,8.0,0.6666666666666666,42.76388888888889,35.333333333333336,49.15,29.200000000000003,48.3,44.6,50.0,7.323347896345026,15.0,0.3,21.80865960793635,39.34652502078847,17.32519314419205,6.933333333333333,23.629586933431547,0.3358,9.0,0.6363636363636364,PPA,Panamenista Party / Authentic Panameñista Party
PY,PRY,Paraguay,South America,0,1,0,2000,20.884013146142514,5.0,0.8,29.09331388888889,5.0,0.8095238095238095,64.68055555555556,45.333333333333336,88.25,30.40000000000001,91.5,62.6,70.0,12.674712403396136,5.0,0.8,28.17855136370862,53.75354475505239,11.211267631186892,20.1,27.6493930685952,0.4498,8.0,0.6818181818181818,ANR-PC,National Republican Association - Colorado Party
PE,PER,Peru,South America,0,0,0,2000,22.852466506699106,4.0,0.85,34.206515277777775,3.0,0.9047619047619048,63.99722222222223,73.33333333333333,62.85,48.6,70.7,78.5,50.0,11.498417735620436,7.0,0.7,21.512474715847404,35.739071559778644,10.430520521961562,17.599999999999998,22.280306781649408,0.5345,6.0,0.7727272727272727,NM,Change 90
SR,SUR,Suriname,South America,0,0,1,2000,,,,,,,29.191666666666663,15.9,55.25,13.299999999999995,20.5,20.200000000000003,50.0,,,,,38.15814490850635,,,,,,,,
TT,TTO,Trinidad y Tobago,Caribbean,0,0,1,2000,13.3756512377581,6.0,0.75,11.740625,10.0,0.5714285714285714,20.069444444444446,16.36666666666667,35.55,19.5,21.1,17.9,10.0,15.0106774755162,4.0,0.85,25.65927773592513,29.304396458271885,28.440667574931883,16.333333333333332,28.55871357716341,0.585,5.0,0.8181818181818182,UNC,United National Congress
UY,URY,Uruguay,South America,0,0,0,2000,3.066086667083632,18.0,0.15,2.055227777777777,21.0,0.0476190476190476,14.37222222222222,7.433333333333333,30.9,7.599999999999994,4.8,5.5,30.0,4.076945556389488,18.0,0.15,28.510108785940474,28.65148946732155,42.2031365010361,19.73333333333333,23.45247584207091,0.143,20.0,0.1363636363636363,PC,Colorado Party
VE,VEN,Venezuela,South America,0,0,0,2000,54.26191491737757,1.0,1.0,72.31073888888889,1.0,1.0,72.74722222222222,72.53333333333335,81.15,70.7,85.3,76.8,50.0,36.21309094586624,1.0,1.0,36.43168103205859,48.5498569829464,33.59734318874486,34.166666666666664,29.41285728987647,0.994,1.0,1.0,MVR,Fifth Republic Movement
AR,ARG,Argentina,South America,0,0,0,2001,8.579928855011145,13.0,0.4,9.3992,11.0,0.5238095238095238,32.63611111111111,27.766666666666666,45.45,22.599999999999994,20.9,29.1,50.0,7.76065771002229,14.0,0.35,26.94672815979962,41.75531544306554,21.080490868389333,11.533333333333331,33.41777299441028,0.288,14.0,0.4090909090909091,UCR,Radical Civic Union
BB,BRB,Barbados,Caribbean,0,0,1,2001,7.460071800632634,14.0,0.35,4.827575,16.0,0.2857142857142857,15.725,13.799999999999995,21.35,23.700000000000003,12.7,12.8,10.0,10.092568601265269,9.0,0.6,32.87481629076635,22.31191099198118,15.5625,47.53333333333333,46.09152083775087,0.307,12.0,0.5,BLP,Barbados Labour Party
BO,BOL,Bolivia,South America,0,1,0,2001,1.9246771770662847,20.0,0.05,2.417105555555556,19.0,0.1428571428571428,51.42777777777778,43.866666666666674,69.1,31.10000000000001,63.2,51.3,50.0,1.4322487985770145,20.0,0.05,30.47337869312797,59.52313934850376,21.379783726203065,14.1,26.89059169780505,0.047,22.0,0.0454545454545454,ADN,Nationalist Democratic Action
BR,BRA,Brazil,South America,0,0,0,2001,8.662650356636584,12.0,0.45,7.652666666666668,13.0,0.4285714285714285,34.66666666666667,18.100000000000005,52.5,16.60000000000001,46.0,24.8,50.0,9.672634046606502,11.0,0.5,43.81714177398189,49.01667637220535,33.25452733830481,56.23333333333333,36.764030052084095,0.22075,17.0,0.2727272727272727,PSDB,Brazilian Social Democracy Party
CL,CHL,Chile,South America,0,0,0,2001,5.059140680471562,17.0,0.2,2.344594444444445,20.0,0.0952380952380952,7.53888888888889,4.933333333333337,17.0,5.700000000000003,3.0,4.6,10.0,7.773686916498678,13.0,0.4,24.99577786655524,32.10525683276753,26.36475962476689,22.53333333333333,18.979761675353192,0.311,11.0,0.5454545454545454,PPD,Party for Democracy
CO,COL,Colombia,South America,0,0,0,2001,10.12159493110694,11.0,0.5,10.55983888888889,10.0,0.5714285714285714,34.82222222222222,21.33333333333333,54.8,16.400000000000006,38.6,27.800000000000004,50.0,9.683350973324988,10.0,0.55,31.931907578977697,45.77679649824279,14.303954520139072,36.1,31.54687929752892,0.30325,13.0,0.4545454545454545,PCC,Colombian Conservative Party
CR,CRI,Costa Rica,Central America,0,0,0,2001,10.86248856075892,10.0,0.55,8.835750000000003,12.0,0.4761904761904761,18.18055555555556,4.533333333333341,30.55,5.1000000000000085,12.1,6.800000000000001,50.0,12.889227121517836,6.0,0.75,26.521043459913244,36.91570141360265,21.85177111716621,25.23333333333333,22.083367975550797,0.486,6.0,0.7727272727272727,PUSC,Social Christian Unity Party
NA,CUB,Cuba,Caribbean,0,0,1,2001,,,,,,,,89.23333333333335,,92.1,60.5,84.89999999999999,,,,,,,,,,0.7962,3.0,0.9090909090909092,PCC,Communist Party of Cuba
DO,DOM,Dominican Republic,Caribbean,0,0,1,2001,18.61529718973759,5.0,0.8,25.89023333333333,5.0,0.8095238095238095,74.39722222222223,68.93333333333334,73.35,85.0,76.7,72.39999999999999,70.0,11.340361046141844,7.0,0.7,32.58724438546507,43.44532504181338,10.268645618612751,40.266666666666666,36.36834021476746,0.348,10.0,0.5909090909090909,PRD,Dominican Revolutionary Party
EC,ECU,Ecuador,South America,0,0,0,2001,,,,,,,55.71111111111111,52.56666666666666,65.5,31.5,55.00000000000001,59.7,70.0,,,,37.59151549196618,57.08782422848429,18.033446866485026,39.36666666666667,35.878124206228726,,,,,
SV,SLV,El Salvador,Central America,0,0,0,2001,3.13092637485259,18.0,0.15,4.814691666666667,18.0,0.1904761904761904,58.00833333333333,53.0,65.15,52.1,69.3,58.5,50.0,1.447161083038513,19.0,0.1,17.435675699259196,33.222844542643735,4.825000000000003,14.133333333333336,17.561524921059714,0.083,20.0,0.1363636363636363,ARENA,Nationalist Republican Alliance
GT,GTM,Guatemala,Central America,0,0,0,2001,23.546610306525498,3.0,0.9,32.013825000000004,3.0,0.9047619047619048,53.85,44.900000000000006,71.7,25.90000000000001,75.4,55.2,50.0,15.079395613050991,3.0,0.9,25.364837027840185,52.85680531816763,6.1028350652086445,18.4,24.099707727984462,0.5945,4.0,0.8636363636363636,FRG,Guatemalan Republican Front
GY,GUY,Guyana,South America,0,0,1,2001,,,,4.826025,17.0,0.238095238095238,59.58055555555555,49.23333333333333,70.35,64.5,70.7,52.7,50.0,,,,,38.85287433940687,,40.333333333333336,38.99358435091473,0.081,21.0,0.0909090909090909,PPP,People's Progressive Party
HT,HTI,Haiti,Haiti,1,0,1,2001,47.70542066047026,2.0,0.95,66.45761,2.0,0.9523809523809524,70.59444444444445,57.26666666666667,85.1,36.0,80.2,75.0,90.0,28.953231320940517,2.0,0.95,30.75550384633579,42.79042221947386,11.328031335149872,35.1,33.80356183071944,0.9414,2.0,0.9545454545454546,FL,Lavalas Family
HN,HND,Honduras,Central America,0,0,0,2001,13.363591593917535,7.0,0.7,19.029511111111116,7.0,0.7142857142857143,72.35555555555555,59.73333333333333,80.9,77.0,79.80000000000001,66.7,70.0,7.697672076723959,15.0,0.3,29.268715120623416,49.56493151510583,13.4808923705722,27.6,26.429036596815635,0.263,15.0,0.3636363636363636,PLH,Liberal Party of Honduras
JM,JAM,Jamaica,Caribbean,0,0,1,2001,7.105422085918953,15.0,0.3,7.220655555555555,14.0,0.3809523809523809,28.427777777777777,16.866666666666664,40.1,26.5,18.2,18.9,50.0,6.99018861628235,16.0,0.25,27.52042762315886,38.687625045700464,18.2625,30.566666666666663,22.564918780268307,0.254,16.0,0.3181818181818182,PNP,People's National Party
MX,MEX,Mexico,Central America,0,0,0,2001,6.130096117000461,16.0,0.25,6.5221888888888895,15.0,0.3333333333333333,39.769444444444446,32.666666666666664,51.55,33.2,37.1,34.1,50.0,5.738003345112031,17.0,0.2,34.98782527507336,51.84621839929283,24.364812380019,43.63333333333333,20.106936987648268,0.164,18.0,0.2272727272727272,PAN,National Action Party
NI,NIC,Nicaragua,Central America,0,0,0,2001,16.51701519526626,6.0,0.75,22.381036111111108,6.0,0.7619047619047619,60.00277777777777,57.36666666666667,68.94999999999999,25.099999999999994,68.89999999999999,69.69999999999999,70.0,10.65299427942141,8.0,0.65,28.56030637914587,43.036994131031776,15.696784235128083,27.133333333333336,28.374113817090283,0.373,8.0,0.6818181818181818,PLC,Constitutionalist Liberal Party
