ISO2,ISO3,YEAR,COUNTRY,REGION,LDC,LLDC,SIDS,POP_R,PARTY_CODE,PARTY_NAME,VDEM_1,VDEM_2,VDEM_3,VDEM_4,VDEM_5,VDEM_6,HERITAGE_1,HERITAGE_2,HERITAGE_3,HERITAGE_4,HERITAGE_5,HERITAGE_6,EFW_1,EFW_2,EFW_3,EFW_4,EFW_5,EFW_6,EP_1,EP_2,EP_3,EP_4,EP,IP_1,IP_2,IP_3,IP_4,IP_5,IP_6,IP,PEP,PIP,POP,POP_RANK,POP_PERCENTILE,PEP_RANK,PEP_PERCENTILE,PIP_RANK,PIP_PERCENTILE,POP_R_RANK,POP_R_PERCENTILE
LC,LCA,2004,Saint Lucia,Caribbean,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LC,LCA,2005,Saint Lucia,Caribbean,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LC,LCA,2006,Saint Lucia,Caribbean,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LC,LCA,2007,Saint Lucia,Caribbean,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LC,LCA,2008,Saint Lucia,Caribbean,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LC,LCA,2009,Saint Lucia,Caribbean,0,0,1,,,,,,,,,,30.0,12.256240629999994,14.900000000000006,28.0,60.0,32.0,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,
LC,LCA,2010,Saint Lucia,Caribbean,0,0,1,,,,,,,,,,30.0,11.599999999999994,19.90000000000001,28.099999999999994,60.0,29.0,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,
LC,LCA,2011,Saint Lucia,Caribbean,0,0,1,,,,,,,,,,30.0,13.799999999999995,14.700000000000005,28.099999999999994,60.0,30.0,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,
LC,LCA,2012,Saint Lucia,Caribbean,0,0,1,,,,,,,,,,30.0,15.299999999999995,14.200000000000005,28.099999999999994,60.0,30.0,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,
LC,LCA,2013,Saint Lucia,Caribbean,0,0,1,,,,,,,,,,30.0,14.700000000000005,15.299999999999995,28.099999999999994,60.0,30.0,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,
LC,LCA,2014,Saint Lucia,Caribbean,0,0,1,,,,,,,,,,30.0,16.900000000000006,17.299999999999997,28.099999999999994,60.0,29.40000000000001,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,
LC,LCA,2015,Saint Lucia,Caribbean,0,0,1,,,,,,,,,,30.0,24.40000000000001,14.5,28.0,60.0,29.0,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,
LC,LCA,2016,Saint Lucia,Caribbean,0,0,1,,,,,,,,,,30.0,22.40000000000001,19.700000000000003,28.0,60.0,29.0,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,
LC,LCA,2017,Saint Lucia,Caribbean,0,0,1,,,,,,,,,,34.5,22.8,17.700000000000003,28.40000000000001,60.0,60.4,,,,,,,,,,,,,,,,,34.5,,,,,,,,,,,,
LC,LCA,2018,Saint Lucia,Caribbean,0,0,1,,,,,,,,,,32.099999999999994,23.40000000000001,18.3,25.700000000000003,60.0,49.1,,,,,,,,,,,,,,,,,32.099999999999994,,,,,,,,,,,,
LC,LCA,2019,Saint Lucia,Caribbean,0,0,1,,,,,,,,,,34.099999999999994,23.700000000000003,16.099999999999994,26.8,60.0,49.7,,,,,,,,,,,,,,,,,34.099999999999994,,,,,,,,,,,,
LC,LCA,2020,Saint Lucia,Caribbean,0,0,1,,,,,,,,,,30.200000000000003,23.3,18.0,26.8,60.0,58.2,,,,,,,,,,,,,,,,,30.200000000000003,,,,,,,,,,,,
NA,SXM,2000,Sint Marteen (Dutch Part),Caribbean,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,SXM,2001,Sint Marteen (Dutch Part),Caribbean,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,SXM,2002,Sint Marteen (Dutch Part),Caribbean,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,SXM,2003,Sint Marteen (Dutch Part),Caribbean,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,SXM,2004,Sint Marteen (Dutch Part),Caribbean,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
