ISO2,ISO3,YEAR,COUNTRY,REGION,LDC,LLDC,SIDS,POP_R,PARTY_CODE,PARTY_NAME,VDEM_1,VDEM_2,VDEM_3,VDEM_4,VDEM_5,VDEM_6,HERITAGE_1,HERITAGE_2,HERITAGE_3,HERITAGE_4,HERITAGE_5,HERITAGE_6,EFW_1,EFW_2,EFW_3,EFW_4,EFW_5,EFW_6
AR,ARG,2005,Argentina,South America,0,0,0,0.791,FPV-PJ,Front for Victory,35.900000000000006,30.10000000000001,23.700000000000003,48.4,34.9,23.02499999999999,70.0,30.0,34.599999999999994,43.8,70.0,75.0,20.66132634037409,18.200000000000003,50.0,36.49651528366414,41.81669878269156,53.867553715695074
AR,ARG,2006,Argentina,South America,0,0,0,0.797,FPV-PJ,Front for Victory,35.900000000000006,30.10000000000001,23.700000000000003,48.4,35.0,23.02499999999999,70.0,37.1,28.5,32.599999999999994,70.0,75.0,21.135914806389522,19.97500000000001,50.0,34.31832400854893,46.073545051869445,65.78426551066772
AR,ARG,2007,Argentina,South America,0,0,0,0.803,FPV-PJ,Front for Victory,36.9,30.700000000000003,25.599999999999994,48.4,35.4,23.02499999999999,70.0,36.1,28.599999999999994,38.6,60.0,72.0,26.79047226439566,19.97500000000001,50.0,33.70096715375257,44.417681426197674,62.865285697815565
AR,ARG,2008,Argentina,South America,0,0,0,0.837,FPV-PJ,Front for Victory,38.1,34.89999999999999,24.299999999999997,48.4,37.3,30.174999999999997,70.0,36.33079958,35.013868689999995,30.400000000000006,60.0,71.0,30.662092773320893,23.674999999999997,50.0,33.58980653990656,47.495219507251775,65.22089647490364
AR,ARG,2009,Argentina,South America,0,0,0,0.871,FPV-PJ,Front for Victory,38.1,34.89999999999999,24.299999999999997,48.4,37.6,31.10000000000001,80.0,37.92574343,39.41965623,30.0,60.0,71.0,35.56240291323944,23.674999999999997,50.0,36.61699350378069,44.67758546839625,62.362251923798084
AR,ARG,2010,Argentina,South America,0,0,0,0.871,FPV-PJ,Front for Victory,38.1,34.89999999999999,23.0,48.4,37.0,32.95,80.0,37.9,38.8,30.5,70.0,71.0,38.80957066715901,23.674999999999997,50.0,39.39444261980471,41.091243924306575,55.984175891345316
AR,ARG,2011,Argentina,South America,0,0,0,0.871,FPV-PJ,Front for Victory,37.6,34.89999999999999,27.700000000000003,48.4,37.3,32.95,80.0,37.6,36.8,30.5,70.0,71.0,42.4231474156762,23.674999999999997,50.0,43.12619673964213,41.91230865339584,55.07154178642985
AR,ARG,2012,Argentina,South America,0,0,0,0.8714999999999999,FPV-PJ,Front for Victory,37.6,34.89999999999999,27.5,48.4,37.9,34.075,80.0,39.0,39.3,32.400000000000006,70.0,71.0,47.5658211083085,27.849999999999994,50.0,64.38479480335926,44.15330180240352,58.33408442314084
AR,ARG,2013,Argentina,South America,0,0,0,0.872,FPV-PJ,Front for Victory,40.1,34.3,29.200000000000003,52.300000000000004,38.4,34.075,85.0,39.9,39.6,32.400000000000006,70.0,70.0,50.65003830645633,27.849999999999994,50.0,65.93641900763056,45.74674166721027,58.21662780122835
AR,ARG,2014,Argentina,South America,0,0,0,0.86,FPV-PJ,Front for Victory,40.1,34.3,28.0,52.300000000000004,38.7,29.200000000000003,85.0,46.1,40.0,31.099999999999994,70.0,70.5,58.766862921248205,27.849999999999994,50.0,68.15805747624117,42.51332122028542,58.46725115739765
